"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Aspásia","Santa Salete","3503950","3547650",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Santana da Ponte Pensa","Santa Salete","3547205","3547650",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Salmourão","Guararapes","3545100","3518206",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Piacatu","Guararapes","3537701","3518206",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Valparaíso","Guararapes","3556305","3518206",2,NA,NA,70,-0.615186065829541,NA,NA,-0.0752305069729479,2,0.403590274838492
"Rubiácea","Guararapes","3544400","3518206",9,NA,NA,NA,1.72198036311379,NA,NA,NA,1,0.787883230784456
"Araçatuba","Guararapes","3502804","3518206",6,NA,NA,264,1.02959868968757,NA,NA,1.18059052534087,2,0.673203397109899
"Orlândia","São Joaquim da Barra","3534302","3549409",6,NA,NA,174,1.02959868968757,NA,NA,0.78493718123869,2,0.636427171299399
"Ipuã","São Joaquim da Barra","3521309","3549409",4,NA,NA,80,0.37643475369414,NA,NA,0.0504128905265393,2,0.507440682645543
"Morro Agudo","São Joaquim da Barra","3531902","3549409",1,NA,NA,42,-1.40227979035003,NA,NA,-0.55339675426276,2,0.28598356905449
"Nuporanga","São Joaquim da Barra","3533601","3549409",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Guará","São Joaquim da Barra","3517703","3549409",6,NA,NA,159,1.02959868968757,NA,NA,0.699491041763336,2,0.628484899189677
"Mira Estrela","Macedônia","3530003","3528205",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Fernandópolis","Macedônia","3515509","3528205",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Indiaporã","Macedônia","3520707","3528205",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Cardoso","Macedônia","3510708","3528205",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Pedranópolis","Macedônia","3536901","3528205",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Macatuba","Pederneiras","3528007","3536703",3,NA,NA,12,-0.0567341809303825,NA,NA,-1.69403448278066,2,0.305029884751615
"Agudos","Pederneiras","3500709","3536703",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Bauru","Pederneiras","3506003","3536703",7,NA,NA,262,1.28881142848927,NA,NA,1.17336692595593,2,0.696625945234731
"Boracéia","Pederneiras","3507308","3536703",3,NA,NA,39,-0.0567341809303825,NA,NA,-0.622355268672409,2,0.404643138024878
"Arealva","Pederneiras","3503406","3536703",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Jaú","Pederneiras","3525300","3536703",3,NA,NA,206,-0.0567341809303825,NA,NA,0.945062897589999,2,0.550335636979362
"Nova Odessa","Americana","3533403","3501608",8,NA,NA,NA,1.5174532681106,NA,NA,NA,1,0.7498613879651
"Santa Bárbara d'Oeste","Americana","3545803","3501608",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Limeira","Americana","3526902","3501608",4,NA,NA,185,0.37643475369414,NA,NA,0.84306385213814,2,0.581118085320571
"Cosmópolis","Americana","3512803","3501608",1,NA,NA,99,-1.40227979035003,NA,NA,0.251337618771698,2,0.360784132379295
"Nhandeara","Sebastianópolis do Sul","3532603","3551306",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Monte Aprazível","Sebastianópolis do Sul","3531407","3551306",8,NA,NA,28,1.5174532681106,NA,NA,-0.92898864969983,2,0.522463081485901
"Votuporanga","Sebastianópolis do Sul","3557105","3551306",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Tanabi","Sebastianópolis do Sul","3553401","3551306",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"São João da Boa Vista","Santo Antônio do Jardim","3549102","3548104",1,NA,NA,98,-1.40227979035003,NA,NA,0.241754517419501,2,0.359893377114498
"Espírito Santo do Pinhal","Santo Antônio do Jardim","3515186","3548104",3,NA,NA,152,-0.0567341809303825,NA,NA,0.656834894644251,2,0.523544663822556
"Garça","Pirajuí","3516705","3538907",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Presidente Alves","Pirajuí","3541109","3538907",9,NA,NA,70,1.72198036311379,NA,NA,-0.0752305069729479,2,0.620831356277048
"Balbinos","Pirajuí","3504701","3538907",8,NA,NA,NA,1.5174532681106,NA,NA,NA,1,0.7498613879651
"Reginópolis","Pirajuí","3542503","3538907",7,NA,NA,NA,1.28881142848927,NA,NA,NA,1,0.707356583954292
"Uru","Pirajuí","3555901","3538907",5,NA,NA,7,0.730359543590107,NA,NA,-2.15697131133439,2,0.335160470987797
"Guarantã","Pirajuí","3518107","3538907",8,NA,NA,28,1.5174532681106,NA,NA,-0.92898864969983,2,0.522463081485901
"Bebedouro","Monte Azul Paulista","3506102","3531506",8,NA,NA,92,1.5174532681106,NA,NA,0.182140696920267,2,0.625743249251702
"Severínia","Monte Azul Paulista","3551900","3531506",1,NA,NA,95,-1.40227979035003,NA,NA,0.212413415979993,2,0.357166103383205
"Cajobi","Monte Azul Paulista","3509304","3531506",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Paraíso","Monte Azul Paulista","3535705","3531506",3,NA,NA,12,-0.0567341809303825,NA,NA,-1.69403448278066,2,0.305029884751615
"Colina","Monte Azul Paulista","3512001","3531506",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Urupês","Irapuã","3556008","3521507",4,NA,NA,80,0.37643475369414,NA,NA,0.0504128905265393,2,0.507440682645543
"Sales","Irapuã","3544806","3521507",6,NA,NA,40,1.02959868968757,NA,NA,-0.598810601851983,2,0.507806949344247
"Novo Horizonte","Irapuã","3533502","3521507",4,NA,NA,40,0.37643475369414,NA,NA,-0.598810601851983,2,0.447094952947812
"Catiguá","Tabapuã","3511201","3552601",3,NA,NA,150,-0.0567341809303825,NA,NA,0.644288522070728,2,0.522378470644248
"Olímpia","Tabapuã","3533908","3552601",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
