"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35301023543402,"35","SP",3530102,"Mirandópolis","35","SP",3543402,"Ribeirão Preto","Centro Local","Núcleo de Capital Regional B (Ribeirão Preto)",111.58,410,0,21,21,-51.1056403917,-21.132086985,-47.8054759159,-21.1848345001,0,"Não",0.272146341463415
35422063553708,"35","SP",3542206,"Rancharia","35","SP",3553708,"Taquaritinga","Centro de Zona B","Centro de Zona B",73.5,270,0,9,9,-50.890211686,-22.2284510103,-48.5067421824,-21.4100079996,0,"Não",0.272222222222222
35111023538709,"35","SP",3511102,"Catanduva","35","SP",3538709,"Piracicaba","Centro Subregional A","Capital Regional C",65.34,240,0,44,44,-48.9758709395,-21.1395385004,-47.6468462359,-22.7237219999,0,"Não",0.27225
35192533535507,"35","SP",3519253,"Iaras","35","SP",3535507,"Paraguaçu Paulista","Centro Local","Centro de Zona B",43.57,160,0,8,8,-49.1561791515,-22.8718922794,-50.5750285305,-22.41771102,0,"Não",0.2723125
35102033523909,"35","SP",3510203,"Capão Bonito","35","SP",3523909,"Itu","Centro Local","Integrante de Capital Regional C (Sorocaba)",46.3,170,0,28,28,-48.351434518,-24.0068009697,-47.2997498363,-23.2654425001,0,"Não",0.272352941176471
35085043550308,"35","SP",3508504,"Caçapava","35","SP",3550308,"São Paulo","Integrante de Capital Regional C (São José dos Campos)","Núcleo de Metrópole (São Paulo)",32.7,120,0,235,235,-45.7077303649,-23.1006637523,-46.5703831822,-23.5673865001,0,"Não",0.2725
35114093528601,"35","SP",3511409,"Cerqueira César","35","SP",3528601,"Manduri","Centro Local","Centro Local",5.45,20,0,98,98,-49.1653301707,-23.0347974992,-49.3181131206,-23.0033460902,0,"Não",0.2725
35191053542503,"35","SP",3519105,"Iacanga","35","SP",3542503,"Reginópolis","Centro Local","Centro Local",5.45,20,0,27,27,-49.0169299192,-21.8919776024,-49.2297976713,-21.8867609383,0,"Não",0.2725
35285023538204,"35","SP",3528502,"Mairiporã","35","SP",3538204,"Pinhalzinho","Integrante de Metrópole (São Paulo)","Centro Local",21.8,80,0,57,57,-46.5901958728,-23.3224593829,-46.5905773185,-22.7807960688,0,"Não",0.2725
35452093550308,"35","SP",3545209,"Salto","35","SP",3550308,"São Paulo","Integrante de Capital Regional C (Sorocaba)","Núcleo de Metrópole (São Paulo)",32.7,120,0,180,180,-47.2924156294,-23.204073806,-46.5703831822,-23.5673865001,0,"Não",0.2725
35465043553708,"35","SP",3546504,"Santa Ernestina","35","SP",3553708,"Taquaritinga","Centro Local","Centro de Zona B",5.45,20,0,114,114,-48.3936499287,-21.4629215034,-48.5067421824,-21.4100079996,0,"Não",0.2725
35498053555604,"35","SP",3549805,"São José do Rio Preto","35","SP",3555604,"Uchoa","Núcleo de Capital Regional B (São José do Rio Preto)","Centro Local",5.45,20,0,292,292,-49.3813476849,-20.8126364997,-49.1776695346,-20.9533463992,0,"Sim",0.2725
35227033556305,"35","SP",3522703,"Itápolis","35","SP",3556305,"Valparaíso","Centro de Zona B","Centro Local",70.86,260,0,14,14,-48.8133919858,-21.594703994,-50.8693081187,-21.2255752826,0,"Não",0.272538461538462
35153503550308,"35","SP",3515350,"Euclides da Cunha Paulista","35","SP",3550308,"São Paulo","Centro Local","Núcleo de Metrópole (São Paulo)",171.76,630,0,14,14,-52.5908983807,-22.55499692,-46.5703831822,-23.5673865001,0,"Não",0.272634920634921
35179013519808,"35","SP",3517901,"Guaraci","35","SP",3519808,"Icém","Centro Local","Centro Local",12.27,45,0,24,24,-48.9445025946,-20.4988092125,-49.1961201912,-20.3435051211,0,"Não",0.272666666666667
35485003551603,"35","SP",3548500,"Santos","35","SP",3551603,"Serra Negra","Núcleo de Capital Regional C (Santos)","Centro Local",68.17,250,0,18,18,-46.3313708495,-23.9337374998,-46.7017913804,-22.6126935221,0,"Não",0.27268
35095023535903,"35","SP",3509502,"Campinas","35","SP",3535903,"Paranapuã","Núcleo de Capital Regional A (Campinas)","Centro Local",141.8,520,0,21,21,-47.0601562726,-22.9073424996,-50.5867189176,-20.0998059526,0,"Não",0.272692307692308
35060033528809,"35","SP",3506003,"Bauru","35","SP",3528809,"Maracaí","Capital Regional C","Centro Local",50.46,185,0,30,30,-49.083000867,-22.3251224996,-50.6689682491,-22.610415337,0,"Não",0.272756756756757
35065083543402,"35","SP",3506508,"Birigui","35","SP",3543402,"Ribeirão Preto","Centro de Zona A","Núcleo de Capital Regional B (Ribeirão Preto)",84.56,310,0,28,28,-50.3393285169,-21.2923922882,-47.8054759159,-21.1848345001,0,"Não",0.272774193548387
35016083511508,"35","SP",3501608,"Americana","35","SP",3511508,"Cerquilho","Integrante de Capital Regional A (Campinas)","Centro Local",24.55,90,0,27,27,-47.330362926,-22.7408834999,-47.737531325,-23.1686724999,0,"Não",0.272777777777778
35006003526803,"35","SP",3500600,"Águas de São Pedro","35","SP",3526803,"Lençóis Paulista","Centro Local","Centro Local",25.92,95,0,14,14,-47.8839747407,-22.5973395542,-48.7986819729,-22.5975069998,0,"Não",0.272842105263158
35224063552205,"35","SP",3522406,"Itapeva","35","SP",3552205,"Sorocaba","Centro Subregional B","Núcleo de Capital Regional C (Sorocaba)",51.85,190,0,149,149,-48.877389159,-23.9834379994,-47.4578532528,-23.499323,0,"Não",0.272894736842105
35387093541406,"35","SP",3538709,"Piracicaba","35","SP",3541406,"Presidente Prudente","Capital Regional C","Capital Regional C",118.71,435,0,35,35,-47.6468462359,-22.7237219999,-51.3867655819,-22.1227435,0,"Não",0.272896551724138
35259043529302,"35","SP",3525904,"Jundiaí","35","SP",3529302,"Matão","Núcleo de Centro de Zona A (Jundiaí)","Centro de Zona B",60.05,220,0,51,51,-46.8852739681,-23.187668,-48.3677476992,-21.6029945067,0,"Não",0.272954545454545
35095023530102,"35","SP",3509502,"Campinas","35","SP",3530102,"Mirandópolis","Núcleo de Capital Regional A (Campinas)","Centro Local",135.21,495,0,21,21,-47.0601562726,-22.9073424996,-51.1056403917,-21.132086985,0,"Não",0.273151515151515
35458033548807,"35","SP",3545803,"Santa Bárbara d'Oeste","35","SP",3548807,"São Caetano do Sul","Integrante de Capital Regional A (Campinas)","Integrante de Metrópole (São Paulo)",42.35,155,0,49,49,-47.4139547663,-22.7553934999,-46.5715146085,-23.6147050004,0,"Não",0.273225806451613
35032083555802,"35","SP",3503208,"Araraquara","35","SP",3555802,"Urânia","Capital Regional C","Centro Local",82,300,0,13,13,-48.1744399372,-21.7903595001,-50.6418001537,-20.2462640965,0,"Não",0.273333333333333
35045033545803,"35","SP",3504503,"Avaré","35","SP",3545803,"Santa Bárbara d'Oeste","Centro Subregional B","Integrante de Capital Regional A (Campinas)",65.6,240,0,14,14,-48.9232631943,-23.1031935003,-47.4139547663,-22.7553934999,0,"Não",0.273333333333333
35111023541406,"35","SP",3511102,"Catanduva","35","SP",3541406,"Presidente Prudente","Centro Subregional A","Capital Regional C",90.2,330,0,7,7,-48.9758709395,-21.1395385004,-51.3867655819,-22.1227435,0,"Não",0.273333333333333
35276033550902,"35","SP",3527603,"Luís Antônio","35","SP",3550902,"São Simão","Centro Local","Centro Local",4.1,15,0,70,70,-47.7002799445,-21.5517065256,-47.5533525397,-21.4797233717,0,"Não",0.273333333333333
35343023544905,"35","SP",3534302,"Orlândia","35","SP",3544905,"Sales Oliveira","Centro de Zona B","Centro Local",4.1,15,0,132,132,-47.8863838222,-20.7204214947,-47.8423493401,-20.7778821515,0,"Não",0.273333333333333
