"MUNI_O","MUNI_D","viagens"
23,15,2043.9579747185
15,21,2031.994169278
21,15,2031.994169278
1,23,2024.3567068822
23,1,2024.3567068822
2,7,1991.6880238129
33,15,1957.2796376704
38,15,1897.9812229995
20,36,1890.0137286416
36,20,1890.0137286416
24,5,1828.1362861632
24,22,1803.4962415593
6,38,1770.2414133226
8,15,1758.2203874795
15,8,1758.2203874795
2,13,1740.2176566454
13,2,1740.2176566454
15,34,1739.9229150403
34,15,1739.9229150403
5,24,1738.61302687
13,31,1737.3056687146
31,13,1737.3056687146
15,23,1705.4176821343
2,11,1694.2582459932
11,2,1694.2582459932
24,32,1694.1205520133
32,24,1694.1205520133
26,38,1671.8558247793
38,26,1671.8558247793
9,32,1630.8363390438
32,9,1630.8363390438
25,31,1606.328263456
34,27,1590.7355546466
2,9,1549.6555547423
31,25,1542.5669337955
22,28,1542.299557234
2,38,1534.023959483
38,2,1534.023959483
27,34,1481.1609185207
35,36,1452.3250044138
6,9,1392.2176388582
9,6,1392.2176388582
12,24,1334.7476708927
24,12,1334.7476708927
14,36,1331.7606975909
19,23,1324.3233279949
23,19,1324.3233279949
28,22,1318.091670645
16,38,1318.0750959476
36,14,1314.811943407
30,36,1308.3599831212
36,30,1308.3599831212
24,37,1306.3028032671
37,24,1306.3028032671
33,37,1302.600758902
37,33,1302.600758902
22,24,1299.8833125713
16,10,1292.642730084
7,31,1288.1228492602
31,7,1288.1228492602
10,16,1245.7037974913
31,9,1223.4714876933
25,36,1212.2854289826
36,25,1212.2854289826
24,28,1199.9707133169
28,24,1199.9707133169
13,22,1194.7694787875
32,13,1194.7694787875
23,30,1110.0431618426
30,23,1110.0431618426
12,35,1101.6070945996
2,14,1030.2893235938
14,2,1030.2893235938
31,15,1007.9367188075
38,6,1002.2107391013
15,24,1001.2399154676
24,15,1001.2399154676
9,2,987.165085445
28,34,986.6734166674
15,3,970.9842812667
37,22,961.5729392791
34,28,912.6021072958
2,15,895.1954975423
17,31,886.1889387508
31,17,886.1889387508
33,28,869.9538288085
2,8,860.7977151368
8,2,860.7977151368
4,24,848.5316256386
24,4,848.5316256386
20,35,818.718448266
8,37,801.4817935581
37,8,801.4817935581
28,33,790.6092595599
15,2,789.6945018328
3,15,788.2203541817
7,33,783.6855694359
33,7,783.6855694359
16,35,774.1833822105
35,20,768.4235219922
2,4,755.4354399414
4,2,755.4354399414
35,16,743.1272134155
12,21,742.1731712283
21,12,742.1731712283
15,31,732.2737465904
32,37,716.827711936
9,34,654.1133013403
34,9,654.1133013403
19,31,643.1666714611
31,19,643.1666714611
18,30,636.7103012601
30,18,636.7103012601
17,39,633.8742360873
39,17,633.8742360873
22,37,632.9222568854
5,9,618.5148595554
9,5,618.5148595554
3,29,616.0195238063
29,3,616.0195238063
17,32,612.0515990658
32,17,612.0515990658
20,16,608.8956620764
11,33,608.5777618214
33,11,608.5777618214
15,30,603.859919296
30,15,603.859919296
37,32,597.0867213354
9,10,593.124205659
10,9,593.124205659
23,29,583.8127169019
38,20,580.3076622181
21,18,576.1368245077
4,21,571.7322165027
21,4,571.7322165027
22,26,564.762129087
26,22,564.762129087
5,10,562.6693107181
10,5,562.6693107181
16,20,552.2684909137
15,16,551.3793835989
16,15,551.3793835989
29,36,534.8039866459
20,38,530.0127359443
29,23,521.4585511358
8,9,520.9415932668
9,8,520.9415932668
2,25,518.1992176614
2,37,509.1782992588
37,2,509.1782992588
13,15,508.8729178486
15,13,508.8729178486
1,14,504.8335814949
14,1,504.8335814949
22,17,503.612928988
21,32,503.3716958001
32,21,503.3716958001
13,21,487.9333370708
21,13,487.9333370708
16,18,484.5921144561
18,16,484.5921144561
21,24,479.5423568062
24,21,479.5423568062
4,23,465.6734572557
23,4,465.6734572557
34,37,458.827722308
37,34,458.827722308
8,24,449.0043109653
24,8,449.0043109653
6,34,448.3901253525
34,6,448.3901253525
