"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Lucianópolis","Espírito Santo do Turvo","3527504","3515194","proximidade",1,NA,NA,NA,NA,0.0399369670472038,0.280190337866
"Orlândia","Ipuã","3534302","3521309","proximidade",2,NA,NA,NA,22,0.0283260449281679,0.186809010428063
"Orlândia","Guará","3534302","3517703","proximidade",2,NA,NA,NA,131,0.0364082838727937,0.289163482556518
"Valparaíso","Rubiácea","3556305","3544400","proximidade",1,NA,NA,NA,NA,0.0440824078910807,0.308506437498895
"Valparaíso","Mirandópolis","3556305","3530102","proximidade",2,NA,NA,NA,140,0.0392546355388009,0.301735832128776
"Valparaíso","Guaraçaí","3556305","3517802","proximidade",2,NA,NA,NA,42,0.0254412811063602,0.203487209933526
"Valparaíso","Araçatuba","3556305","3502804","proximidade",2,NA,NA,NA,140,0.0265020260565189,0.257795907330113
"Guapiaçu","Nova Granada","3517505","3533007","proximidade",1,NA,NA,NA,NA,0.0302340844837691,0.213469481309959
"Guapiaçu","Ipiguá","3517505","3521150","proximidade",1,NA,NA,NA,NA,0.0405509352775434,0.284391259752691
"Guapiaçu","Tabapuã","3517505","3552601","proximidade",1,NA,NA,NA,NA,0.0372257553583688,0.261609852953244
"Guatapará","Guariba","3518859","3518602","proximidade",2,NA,NA,NA,104,0.0379226996954336,0.284603653918016
"Guatapará","Américo Brasiliense","3518859","3501707","proximidade",1,NA,NA,NA,NA,0.0329944571439762,0.232514637059035
"Guatapará","Santa Lúcia","3518859","3546900","proximidade",1,NA,NA,NA,NA,0.0393623206758225,0.276256218216704
"Guatapará","Dumont","3518859","3514601","proximidade",1,NA,NA,NA,NA,0.0437706392581536,0.306380764855963
"Juquitiba","Mongaguá","3526209","3531100","proximidade",1,NA,NA,NA,NA,0.0260073291120822,0.18420791883841
"Juquitiba","Pedro de Toledo","3526209","3537206","proximidade",2,NA,NA,NA,7,0.0369413268014509,0.171477609034098
"Juquitiba","Itanhaém","3526209","3522109","proximidade",1,NA,NA,NA,NA,0.0406638616732455,0.285163660084162
"Juquitiba","Itapecerica da Serra","3526209","3522208","proximidade+salto_od",3,NA,NA,1161.1641529901,1104,0.0339335913061122,0.318804417935987
"Juquitiba","Embu-Guaçu","3526209","3515103","proximidade",1,NA,NA,NA,NA,0.0440554776505061,0.308322849220474
